key,english,hi,te,ta,kn,ml
login.email_link_expired,Verification link expired. Please sign in again.,सत्यापन लिंक समाप्त हो गया। कृपया फिर से साइन इन करें।,ధృవీకరణ లింక్ గడువు ముగిసింది. దయచేసి మళ్లీ సైన్ ఇన్ చేయండి.,சரிபார்ப்பு இணைப்பு காலாவதியானது. தயவுசெய்து மீண்டும் உள்நுழையவும்.,ಪರಿಶೀಲನೆ ಲಿಂಕ್ ಅವಧಿ ಮುಗಿದಿದೆ. ದಯವಿಟ್ಟು ಮತ್ತೆ ಸೈನ್ ಇನ್ ಮಾಡಿ.,വെരിഫിക്കേഷൻ ലിങ്കിൻറെ കാലാവധി കഴിഞ്ഞു. ദയവായി വീണ്ടും സൈൻ ഇൻ ചെയ്യുക.
login.email_label,Email address,ईमेल पता,ఇమెయిల్ చిరునామా,மின்னஞ்சல் முகவரி,ಇಮೇಲ್ ವಿಳಾಸ,ഇമെയിൽ വിലാസം
login.password_label,Password,कूटशब्द,పాస్వర్డ్,கடவுச்சொல்,ಪಾಸ್ವರ್ಡ್,പാസ്വേഡ്
login.forgot_password,Forgot?,भूल गए?,మర్చిపోయారా?,மறந்து போய்விட்டதா?,ಮರೆತಿದ್ದೀರಾ?,മറന്നോ?
login.password_placeholder,Your password,आपका कूटशब्द,మీ పాస్వర్డ్,உங்கள் கடவுச்சொல்,ನಿಮ್ಮ ಗುಪ್ತಪದ,നിങ്ങളുടെ രഹസ്യവാക്ക്
common.hide,Hide,छुपाएँ,దాచండి,மறைத்து வையுங்கள்,ಅಡಗಿಸಿಡಿ,മറയ്ക്കുക
common.show,Show,दिखाएँ,చూపించు,காட்டு,ತೋರಿಸಿ,കാണിക്കുക
login.email_signing_in,Signing in...,साइन इन...,సైన్ ఇన్ చేస్తున్నాం...,உள்நுழைவு...,ಸೈನ್ ಇನ್ ಆಗುತ್ತಿದೆ...,സൈൻ ഇൻ ചെയ്യുന്നു...
login.email_signin_btn,Sign in with Email,ईमेल के साथ साइन इन करें,ఇమెయిల్తో సైన్ ఇన్ చేయండి,மின்னஞ்சல் மூலம் உள்நுழையவும்,ಇಮೇಲ್ ಮೂಲಕ ಸೈನ್ ಇನ್ ಮಾಡಿ,ഇമെയിൽ ഉപയോഗിച്ച് സൈൻ ഇൻ ചെയ്യുക
login.tagline,Warranty Wallet,वारंटी वॉलेट,వారంటీ వాలెట్,உத்தரவாத பணப்பை,ಖಾತರಿ ವ್ಯಾಲೆಟ್,വാറന്റി വാലറ്റ്
login.use_phone,Use mobile number instead,इसके बजाय मोबाइल नंबर का इस्तेमाल करें,బదులుగా మొబైల్ నంబర్ను ఉపయోగించండి,அதற்கு பதிலாக மொபைல் எண்ணைப் பயன்படுத்துங்கள்,ಬದಲಿಗೆ ಮೊಬೈಲ್ ಸಂಖ್ಯೆಯನ್ನು ಬಳಸಿ,പകരം മൊബൈൽ നമ്പർ ഉപയോഗിക്കുക
login.use_email,Use email & password instead,इसके बजाय ईमेल और पासवर्ड का उपयोग करें,బదులుగా ఇమెయిల్ & పాస్వర్డ్ను ఉపయోగించండి,அதற்கு பதிலாக மின்னஞ்சல் & கடவுச்சொல்லைப் பயன்படுத்துங்கள்,ಬದಲಿಗೆ ಇಮೇಲ್ & ಪಾಸ್ವರ್ಡ್ ಬಳಸಿ,പകരം ഇമെയിൽ & പാസ്വേഡ് ഉപയോഗിക്കുക
login.new_user,New user?,नया उपयोगकर्ता?,కొత్త యూజర్?,புதிய பயனர்?,ಹೊಸ ಬಳಕೆದಾರ?,പുതിയ ഉപയോക്താവ്?
login.create_account,Create free account,मुफ़्त खाता बनाएँ,ఉచిత ఖాతాను సృష్టించండి,இலவச கணக்கை உருவாக்கவும்,ಉಚಿತ ಖಾತೆಯನ್ನು ರಚಿಸಿ,സൌജന്യ അക്കൌണ്ട് സൃഷ്ടിക്കുക
common.all,All,सभी,అన్నీ..............................................................................................................................................................................................................................................................,எல்லாம்,ಎಲ್ಲಾ,എല്ലാം
products.title,My Products,मेरे उत्पाद,నా ఉత్పత్తులు,என் தயாரிப்புகள்,ನನ್ನ ಉತ್ಪನ್ನಗಳು,എൻറെ ഉൽപ്പന്നങ്ങൾ
products.total_tracked,total tracked,कुल ट्रैक किया गया,మొత్తం ట్రాక్ చేయబడింది,மொத்த கண்காணிப்பு,ಒಟ್ಟು ಟ್ರ್ಯಾಕ್ ಮಾಡಲಾಗಿದೆ,ആകെ ട്രാക്ക് ചെയ്തവർ
notification.copied,Link copied!,लिंक कॉपी किया गया!,లింక్ కాపీ చేయబడింది!,இணைப்பு நகலெடுக்கப்பட்டது!,ಲಿಂಕ್ ನಕಲು ಮಾಡಲಾಗಿದೆ!,ലിങ്ക് പകർത്തി!
product.share,Share product,उत्पाद साझा करें,ఉత్పత్తిని పంచుకోండి,தயாரிப்பைப் பகிரவும்,ಉತ್ಪನ್ನವನ್ನು ಹಂಚಿಕೊಳ್ಳಿ,ഉൽപ്പന്നം പങ്കിടുക
common.compare,Compare,तुलना करें,పోల్చుకోండి,ஒப்பிடுக,ಹೋಲಿಕೆ ಮಾಡಿ,താരതമ്യം ചെയ്യുക
common.remove,Remove,हटाएं,తొలగించండి,அகற்றவும்,ತೆಗೆದುಹಾಕಿ,നീക്കം ചെയ്യുക
product.sample_badge,Sample,नमूना,నమూనా,மாதிரி,ಮಾದರಿ,സാമ്പിൾ
product.purchased,Purchased,ख़रीदा गया,కొనుగోలు చేయబడింది,வாங்கப்பட்டது,ಖರೀದಿಸಲಾಗಿದೆ,വാങ്ങിയ
product.expires_header,Warranty Expires,वारंटी समाप्त हो जाती है,వారంటీ గడువు ముగుస్తుంది,உத்தரவாதம் காலாவதியாகும்,ಖಾತರಿ ಅವಧಿ ಮುಗಿಯುತ್ತದೆ,വാറന്റി കാലാവധി അവസാനിക്കുന്നു
product.price_paid,Price Paid,भुगतान की गई कीमत,చెల్లించిన ధర,செலுத்திய விலை,ಪಾವತಿಸಿದ ಬೆಲೆ,നൽകിയ വില
product.bought_from,Bought From,से खरीदा गया,నుండి కొనుగోలు చేయబడింది,இருந்து வாங்கப்பட்டது,ಅವರಿಂದ ಖರೀದಿಸಲಾಗಿದೆ,നിന്നും വാങ്ങി
product.serial_imei,Serial / IMEI,सीरियल/आई. एम. ई. आई.,సీరియల్/IMEI,சீரியல்/IMEI,ಸರಣಿ/ಐ. ಎಂ. ಇ. ಐ.,സീരിയൽ/IMEI
product.notes,Notes,नोट्स,గమనికలు,குறிப்புகள்,ಟಿಪ್ಪಣಿಗಳು,കുറിപ്പുകൾ
product.tab_overview,Overview,अवलोकन,అవలోకనం,கண்ணோட்டம்,ಅವಲೋಕನ,അവലോകനം
product.tab_intelligence,Intelligence,बुद्धिमत्ता,తెలివితేటలు,நுண்ணறிவு,ಬುದ್ಧಿವಂತಿಕೆ,ഇന്റലിജൻസ്
product.tab_service,Service,सेवा,సేవ,சேவை,ಸೇವೆ,സേവനം
product.tab_claim,Claim AI,एआई का दावा करें,క్లెయిమ్ AI,AI உரிமைகோரல்,ಕ್ಲೈಮ್ ಎ. ಐ.,ക്ലെയിം എ. ഐ.
product.tab_manual,Manual,मैनुअल,మాన్యువల్,கையேடு,ಕೈಪಿಡಿ,മാനുവൽ
product.back_to_list,Back to products,उत्पादों पर वापस जाएँ,ఉత్పత్తులకు తిరిగి వెళ్ళు,தயாரிப்புகளுக்குத் திரும்பு,ಉತ್ಪನ್ನಗಳಿಗೆ ಹಿಂತಿರುಗಿ,ഉൽപ്പന്നങ്ങളിലേക്ക് മടങ്ങുക
product.invoice_loading,Loading preview...,पूर्वावलोकन लोड किया जा रहा है...,ప్రివ్యూని లోడ్ చేస్తున్నారు...,முன்னோட்டத்தை ஏற்றுகிறது...,ಪೂರ್ವವೀಕ್ಷಣೆಯನ್ನು ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...,പ്രിവ്യൂ ലോഡ് ചെയ്യുന്നു...
product.invoice_tap_view,Tap to view PDF invoice,पीडीएफ चालान देखने के लिए टैप करें,పిడిఎఫ్ ఇన్వాయిస్ చూడటానికి నొక్కండి,PDF விலைப்பட்டியலைக் காண தட்டவும்,ಪಿಡಿಎಫ್ ಸರಕುಪಟ್ಟಿ ನೋಡಲು ಟ್ಯಾಪ್ ಮಾಡಿ,പിഡിഎഫ് ഇൻവോയ്സ് കാണാൻ ടാപ്പുചെയ്യുക
product.invoice_open_new_tab,Open in new tab,नए टैब में खोलें,కొత్త ట్యాబ్లో తెరవండి,புதிய தாவலில் திறக்கவும்,ಹೊಸ ಟ್ಯಾಬ್ನಲ್ಲಿ ತೆರೆಯಿರಿ,പുതിയ ടാബിൽ തുറക്കുക
product.remove_btn,Remove product,उत्पाद हटाएँ,ఉత్పత్తిని తొలగించండి,தயாரிப்பை அகற்று,ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಿ,ഉൽപ്പന്നം നീക്കം ചെയ്യുക
product.remove_confirm_title,Remove this product?,क्या इस उत्पाद को हटा दें?,ఈ ఉత్పత్తిని తొలగించాలా?,இந்த தயாரிப்பை அகற்றுவதா?,ಈ ಉತ್ಪನ್ನವನ್ನು ತೆಗೆದುಹಾಕಿ?,ഈ ഉൽപ്പന്നം നീക്കം ചെയ്യണോ?
product.remove_confirm_desc,This will permanently delete the product and any uploaded invoice.,इससे उत्पाद और अपलोड किया गया कोई भी चालान स्थायी रूप से हटा दिया जाएगा।,ఇది ఉత్పత్తిని మరియు అప్లోడ్ చేసిన ఏదైనా ఇన్వాయిస్ను శాశ్వతంగా తొలగిస్తుంది.,இது தயாரிப்பையும் பதிவேற்றப்பட்ட விலைப்பட்டியலையும் நிரந்தரமாக நீக்கும்.,ಇದು ಉತ್ಪನ್ನ ಮತ್ತು ಅಪ್ಲೋಡ್ ಮಾಡಲಾದ ಯಾವುದೇ ಸರಕುಪಟ್ಟಿಗಳನ್ನು ಶಾಶ್ವತವಾಗಿ ಅಳಿಸುತ್ತದೆ.,ഇത് ഉൽപ്പന്നവും അപ്ലോഡ് ചെയ്ത ഏതെങ്കിലും ഇൻവോയ്സും സ്ഥിരമായി ഇല്ലാതാക്കും.
product.removing,Removing...,हटाना...,తొలగిస్తోంది...,நீக்குவது...,ತೆಗೆದುಹಾಕಲಾಗುತ್ತಿದೆ...,നീക്കം ചെയ്യുന്നു...
product.service_centres_brand,Authorized Service Centres,अधिकृत सेवा केंद्र,అధీకృత సేవా కేంద్రాలు,அங்கீகரிக்கப்பட்ட சேவை மையங்கள்,ಅಧಿಕೃತ ಸೇವಾ ಕೇಂದ್ರಗಳು,അംഗീകൃത സേവന കേന്ദ്രങ്ങൾ
product.book_technician,Book a Technician,एक तकनीशियन बुक करें,టెక్నీషియన్ను బుక్ చేసుకోండి,ஒரு தொழில்நுட்ப வல்லுநரைப் பதிவு செய்யுங்கள்,ತಂತ್ರಜ್ಞರನ್ನು ಬುಕ್ ಮಾಡಿ,ഒരു ടെക്നീഷ്യനെ ബുക്ക് ചെയ്യുക
product.ai_assistant_title,AI Claim Assistant,ए. आई. दावा सहायक,AI క్లెయిమ్ అసిస్టెంట్,AI உரிமைகோரல் உதவியாளர்,ಎಐ ಕ್ಲೈಮ್ ಅಸಿಸ್ಟೆಂಟ್,എഐ ക്ലെയിം അസിസ്റ്റന്റ്
product.ai_assistant_desc,Powered by Claude · Guides you through warranty claims,क्लाउड द्वारा संचालित · वारंटी दावों के माध्यम से आपका मार्गदर्शन करता है,క్లాడ్ ద్వారా శక్తివంతం · వారంటీ క్లెయిమ్ల ద్వారా మీకు మార్గనిర్దేశం చేస్తుంది,கிளாட் மூலம் இயக்கப்படுகிறது · உத்தரவாத உரிமைகோரல்கள் மூலம் உங்களை வழிநடத்துகிறது,Clade ನಿಂದ ಚಾಲಿತ · ಖಾತರಿ ಹಕ್ಕುಗಳ ಮೂಲಕ ನಿಮಗೆ ಮಾರ್ಗದರ್ಶನ ನೀಡುತ್ತದೆ,ക്ലോഡ് ശക്തിപ്പെടുത്തുന്നു · വാറന്റി ക്ലെയിമുകളിലൂടെ നിങ്ങളെ നയിക്കുന്നു
product.manual_title,User Manual,उपयोगकर्ता मैनुअल,వినియోగదారు మాన్యువల్,பயனர் கையேடு,ಬಳಕೆದಾರ ಕೈಪಿಡಿ,ഉപയോക്തൃ മാനുവൽ
product.manual_desc_prefix,Find the official user manual for your,अपने लिए आधिकारिक उपयोगकर्ता मैनुअल खोजें,మీ కోసం అధికారిక వినియోగదారు మాన్యువల్ను కనుగొనండి,உங்களுக்கான அதிகாரப்பூர்வ பயனர் கையேட்டைக் கண்டறியவும்,ನಿಮಗಾಗಿ ಅಧಿಕೃತ ಬಳಕೆದಾರ ಕೈಪಿಡಿಯನ್ನು ಹುಡುಕಿ,നിങ്ങളുടെ ഔദ്യോഗിക ഉപയോക്തൃ മാനുവൽ കണ്ടെത്തുക
product.search_google,Search on Google,गूगल पर खोजें,గూగుల్లో వెతకండి,கூகுளில் தேடல்,ಗೂಗಲ್ನಲ್ಲಿ ಹುಡುಕಿ,ഗൂഗിളിൽ തിരയുക
product.try_manualslib,Try ManualsLib,मैनुअललिब आज़माएँ,ప్రయత్నించండి ManualsLib,ManualsLib முயற்சிக்கவும்,ಕೈಪಿಡಿಯನ್ನು ಪ್ರಯತ್ನಿಸಿLib,മാനുവല്ലിബ് പരീക്ഷിക്കുക
product.india_support,India Support,इंडिया सपोर्ट,ఇండియా సపోర్ట్,இந்தியா ஆதரவு,ಭಾರತ ಬೆಂಬಲ,ഇന്ത്യ സപ്പോർട്ട്
product.invoice_loading_modal,Loading invoice...,चालान लोड किया जा रहा है...,ఇన్వాయిస్ను లోడ్ చేస్తున్నారు...,விலைப்பட்டியல் ஏற்றப்படுகிறது...,ಸರಕುಪಟ್ಟಿ ಲೋಡ್ ಮಾಡಲಾಗುತ್ತಿದೆ...,ഇൻവോയ്സ് ലോഡ് ചെയ്യുന്നു...
product.add_subtitle,Track warranty and store your invoice in one place.,वारंटी पर नज़र रखें और अपने चालान को एक ही स्थान पर रखें।,"వారంటీని ట్రాక్ చేసి, మీ ఇన్వాయిస్ను ఒకే చోట నిల్వ చేయండి.","உத்தரவாதத்தை கண்காணித்து, உங்கள் விலைப்பட்டியலை ஒரே இடத்தில் சேமிக்கவும்.",ಖಾತರಿಯನ್ನು ಟ್ರ್ಯಾಕ್ ಮಾಡಿ ಮತ್ತು ನಿಮ್ಮ ಸರಕುಪಟ್ಟಿಗಳನ್ನು ಒಂದೇ ಸ್ಥಳದಲ್ಲಿ ಸಂಗ್ರಹಿಸಿಡಿ.,വാറന്റി ട്രാക്ക് ചെയ്ത് നിങ്ങളുടെ ഇൻവോയ്സ് ഒരിടത്ത് സൂക്ഷിക്കുക.
product.invoice_security_note,Invoices are stored privately and securely,चालान निजी और सुरक्षित रूप से संग्रहीत किए जाते हैं।,ఇన్వాయిస్లు ప్రైవేటుగా మరియు సురక్షితంగా నిల్వ చేయబడతాయి.,விலைப்பட்டியல்கள் தனிப்பட்ட முறையிலும் பாதுகாப்பாகவும் சேமிக்கப்படுகின்றன.,ಇನ್ವಾಯ್ಸ್ಗಳನ್ನು ಖಾಸಗಿಯಾಗಿ ಮತ್ತು ಸುರಕ್ಷಿತವಾಗಿ ಸಂಗ್ರಹಿಸಲಾಗುತ್ತದೆ.,ഇൻവോയ്സുകൾ സ്വകാര്യമായും സുരക്ഷിതമായും സൂക്ഷിക്കുന്നു.
product.scan_bill_title,Scan Bill / Invoice,स्कैन बिल/चालान,స్కాన్ బిల్లు/ఇన్వాయిస్,ஸ்கேன் பில்/விலைப்பட்டியல்,ಸ್ಕ್ಯಾನ್ ಬಿಲ್/ಇನ್ವಾಯ್ಸ್,സ്കാൻ ബിൽ/ഇൻവോയ്സ്
product.scan_bill_desc,"Take a photo of your paper bill, Amazon/Flipkart invoice, or any receipt. The app will auto-fill brand, product, serial number, price and date.","अपने कागजी बिल, अमेज़न/फ्लिपकार्ट चालान, या किसी भी रसीद की फोटो लें। ऐप ब्रांड, उत्पाद, सीरियल नंबर, कीमत और तारीख को स्वतः भर देगा।","మీ కాగితపు బిల్లు, అమెజాన్/ఫ్లిప్కార్ట్ ఇన్వాయిస్ లేదా ఏదైనా రసీదు యొక్క ఫోటో తీసుకోండి. ఈ యాప్ బ్రాండ్, ఉత్పత్తి, సీరియల్ నంబర్, ధర మరియు తేదీని స్వయంచాలకంగా నింపుతుంది.","உங்கள் காகித பில், அமேசான்/பிளிப்கார்ட் விலைப்பட்டியல் அல்லது எந்த ரசீதையும் புகைப்படம் எடுங்கள். இந்த செயலி தானாகவே பிராண்ட், தயாரிப்பு, வரிசை எண், விலை மற்றும் தேதியை நிரப்பும்.","ನಿಮ್ಮ ಕಾಗದದ ಬಿಲ್, ಅಮೆಜಾನ್/ಫ್ಲಿಪ್ಕಾರ್ಟ್ ಇನ್ವಾಯ್ಸ್ ಅಥವಾ ಯಾವುದೇ ರಸೀದಿಯನ್ನು ಫೋಟೋ ತೆಗೆದುಕೊಳ್ಳಿ. ಅಪ್ಲಿಕೇಶನ್ ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಬ್ರ್ಯಾಂಡ್, ಉತ್ಪನ್ನ, ಸರಣಿ ಸಂಖ್ಯೆ, ಬೆಲೆ ಮತ್ತು ದಿನಾಂಕವನ್ನು ತುಂಬುತ್ತದೆ.","നിങ്ങളുടെ പേപ്പർ ബിൽ, ആമസോൺ/ഫ്ലിപ്കാർട്ട് ഇൻവോയ്സ് അല്ലെങ്കിൽ ഏതെങ്കിലും രസീത് എന്നിവയുടെ ഫോട്ടോ എടുക്കുക. ആപ്പ് ബ്രാൻഡ്, ഉൽപ്പന്നം, സീരിയൽ നമ്പർ, വില, തീയതി എന്നിവ ഓട്ടോ-ഫിൽ ചെയ്യും."
product.take_photo,Take Photo,फोटो लें,ఫోటో తీయండి,புகைப்படம் எடுங்கள்,ಫೋಟೋ ತೆಗೆದುಕೊಳ್ಳಿ,ഫോട്ടോ എടുക്കുക
product.choose_file,Choose File,फ़ाइल चुनें,ఫైల్ను ఎంచుకోండి,கோப்பைத் தேர்ந்தெடுக்கவும்,ಕಡತವನ್ನು ಆರಿಸಿ,ഫയൽ തിരഞ്ഞെടുക്കുക
product.reading_bill,Reading your bill...,अपना बिल पढ़ते हुए...,మీ బిల్లు చదవడం...,உங்கள் மசோதாவைப் படியுங்கள்...,ನಿಮ್ಮ ಬಿಲ್ ಓದಿ...,നിങ്ങളുടെ ബിൽ വായിക്കുന്നു...
product.extracting_details,AI is extracting product details,ए. आई. उत्पाद विवरण निकाल रहा है,AI ఉత్పత్తి వివరాలను సేకరిస్తోంది,AI தயாரிப்பு விவரங்களை பிரித்தெடுக்கிறது,ಎ. ಐ. ಉತ್ಪನ್ನದ ವಿವರಗಳನ್ನು ಹೊರತೆಗೆಯುತ್ತಿದೆ.,എ. ഐ. ഉൽപ്പന്ന വിശദാംശങ്ങൾ വേർതിരിച്ചെടുക്കുന്നു.
product.details_extracted,Details extracted!,विवरण निकाले गए!,సేకరించిన వివరాలు!,பிரித்தெடுக்கப்பட்ட விவரங்கள்!,ಹೊರತೆಗೆಯಲಾದ ವಿವರಗಳು!,ശേഖരിച്ച വിശദാംശങ്ങൾ!
product.form_autofilled,Form has been auto-filled,फॉर्म स्वतः भर दिया गया है,ఫారం స్వయంచాలకంగా నింపబడింది,படிவம் தானாக நிரப்பப்பட்டுள்ளது,ಫಾರ್ಮ್ ಅನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತುಂಬಿಸಲಾಗಿದೆ,ഫോം യാന്ത്രികമായി പൂരിപ്പിച്ചിരിക്കുന്നു
product.ocr_error,Couldn't read the bill — please fill manually.,बिल नहीं पढ़ सका-कृपया मैन्युअल रूप से भरें।,బిల్లు చదవలేకపోయింది-దయచేసి మాన్యువల్గా పూరించండి.,பிலைப் படிக்க முடியவில்லை-தயவுசெய்து கைமுறையாக நிரப்பவும்.,ಬಿಲ್ ಅನ್ನು ಓದಲು ಸಾಧ್ಯವಾಗಲಿಲ್ಲ-ದಯವಿಟ್ಟು ಕೈಯಿಂದ ಭರ್ತಿ ಮಾಡಿ.,ബിൽ വായിക്കാൻ കഴിഞ്ഞില്ല-ദയവായി കൈകൊണ്ട് പൂരിപ്പിക്കുക.
product.scan_barcode_title,Scan Barcode / QR,स्कैन बारकोड/क्यू. आर.,స్కాన్ బార్కోడ్/క్యూఆర్,ஸ்கேன் பார்கோடு/க்யூஆர்,ಸ್ಕ್ಯಾನ್ ಬಾರ್ಕೋಡ್/ಕ್ಯೂಆರ್,സ്കാൻ ബാർകോഡ്/ക്യുആർ
product.scan_barcode_hint,Point at barcode or QR code — auto-detects,बारकोड या क्यू. आर. कोड पर बिंदु-स्वतः पता लगाएँ,బార్కోడ్ లేదా క్యూఆర్ కోడ్ వద్ద పాయింట్-ఆటో-డిటెక్ట్స్,பார்கோடு அல்லது கியூஆர் குறியீட்டில் உள்ள புள்ளி-தானியங்கி கண்டுபிடிப்புகள்,ಬಾರ್ಕೋಡ್ ಅಥವಾ ಕ್ಯೂಆರ್ ಕೋಡ್ನಲ್ಲಿ ಪಾಯಿಂಟ್-ಸ್ವಯಂಚಾಲಿತ ಪತ್ತೆ,ബാർകോഡ് അല്ലെങ്കിൽ ക്യുആർ കോഡിലെ പോയിന്റ്-ഓട്ടോ-കണ്ടെത്തലുകൾ
product.camera_denied,Camera access denied. Please allow camera permission and try again.,कैमरा एक्सेस से इनकार कर दिया गया। कृपया कैमरे की अनुमति दें और फिर से प्रयास करें।,కెమెరా యాక్సెస్ నిరాకరించబడింది. దయచేసి కెమెరా అనుమతిని అనుమతించండి మరియు మళ్లీ ప్రయత్నించండి.,கேமரா அணுகல் மறுக்கப்பட்டது. தயவுசெய்து கேமரா அனுமதியை அனுமதித்து மீண்டும் முயற்சிக்கவும்.,ಕ್ಯಾಮರಾ ಪ್ರವೇಶವನ್ನು ನಿರಾಕರಿಸಲಾಗಿದೆ. ದಯವಿಟ್ಟು ಕ್ಯಾಮರಾ ಅನುಮತಿಯನ್ನು ಅನುಮತಿಸಿ ಮತ್ತು ಮತ್ತೆ ಪ್ರಯತ್ನಿಸಿ.,ക്യാമറ ആക്സസ് നിഷേധിച്ചു. ദയവായി ക്യാമറ അനുമതി അനുവദിച്ച് വീണ്ടും ശ്രമിക്കുക.
product.barcode_unsupported,Barcode scanning not supported in this browser. Please type the serial/model number manually.,इस ब्राउज़र में बारकोड स्कैनिंग समर्थित नहीं है। कृपया सीरियल/मॉडल संख्या को मैन्युअल रूप से टाइप करें।,ఈ బ్రౌజర్లో బార్కోడ్ స్కానింగ్కు మద్దతు లేదు. దయచేసి సీరియల్/మోడల్ నంబర్ను మాన్యువల్గా టైప్ చేయండి.,இந்த உலாவியில் பார்கோடு ஸ்கேனிங் ஆதரிக்கப்படவில்லை. தயவுசெய்து வரிசை/மாதிரி எண்ணை கைமுறையாக தட்டச்சு செய்யுங்கள்.,ಈ ಬ್ರೌಸರ್ನಲ್ಲಿ ಬಾರ್ಕೋಡ್ ಸ್ಕ್ಯಾನಿಂಗ್ಗೆ ಬೆಂಬಲವಿಲ್ಲ. ದಯವಿಟ್ಟು ಸರಣಿ/ಮಾದರಿ ಸಂಖ್ಯೆಯನ್ನು ಹಸ್ತಚಾಲಿತವಾಗಿ ಟೈಪ್ ಮಾಡಿ.,ഈ ബ്രൌസറിൽ ബാർകോഡ് സ്കാനിംഗ് പിന്തുണയ്ക്കുന്നില്ല. ദയവായി സീരിയൽ/മോഡൽ നമ്പർ കൈകൊണ്ട് ടൈപ്പ് ചെയ്യുക.
product.fields_required_toast,"Name, brand, and purchase date are required","नाम, ब्रांड और खरीद की तारीख आवश्यक है।","పేరు, బ్రాండ్ మరియు కొనుగోలు తేదీ అవసరం","பெயர், பிராண்ட் மற்றும் கொள்முதல் தேதி தேவை","ಹೆಸರು, ಬ್ರ್ಯಾಂಡ್ ಮತ್ತು ಖರೀದಿ ದಿನಾಂಕದ ಅಗತ್ಯವಿದೆ.","പേര്, ബ്രാൻഡ്, വാങ്ങൽ തീയതി എന്നിവ ആവശ്യമാണ്."
product.added_success_toast,Added to your Warranty Wallet!,आपके वारंटी वॉलेट में जोड़ा गया!,మీ వారంటీ వాలెట్కు జోడించబడింది!,உங்கள் உத்தரவாத பணப்பையில் சேர்க்கப்பட்டது!,ನಿಮ್ಮ ಖಾತರಿ ವ್ಯಾಲೆಟ್ಗೆ ಸೇರಿಸಲಾಗಿದೆ!,നിങ്ങളുടെ വാറന്റി വാലറ്റിലേക്ക് ചേർത്തു!
product.add_failed_toast,Failed to add product,उत्पाद जोड़ने में विफल,ఉత్పత్తిని జోడించడంలో విఫలమైంది,தயாரிப்பைச் சேர்க்க முடியவில்லை,ಉತ್ಪನ್ನವನ್ನು ಸೇರಿಸಲು ವಿಫಲವಾಗಿದೆ,ഉൽപ്പന്നം ചേർക്കുന്നതിൽ പരാജയപ്പെട്ടു
product.scan_cta_title,Scan Box / Bill,स्कैन बॉक्स/बिल,స్కాన్ బాక్స్/బిల్లు,ஸ்கேன் பெட்டி/பில்,ಸ್ಕ್ಯಾನ್ ಬಾಕ್ಸ್/ಬಿಲ್,സ്കാൻ ബോക്സ്/ബിൽ
product.scan_cta_desc,Auto-fills all details,सभी विवरण स्वतः भरें,అన్ని వివరాలను స్వయంచాలకంగా నింపండి,அனைத்து விவரங்களையும் தானாக நிரப்பவும்,ಎಲ್ಲಾ ವಿವರಗಳನ್ನು ಸ್ವಯಂಚಾಲಿತವಾಗಿ ಭರ್ತಿ ಮಾಡಿ,എല്ലാ വിശദാംശങ്ങളും സ്വയം പൂരിപ്പിക്കുക
product.fill_manually,or fill manually,या मैन्युअल रूप से भरें,లేదా చేతితో నింపండి,அல்லது கைமுறையாக நிரப்பவும்,ಕೈಯಿಂದ ತುಂಬಿಸಿ ಅಥವಾ ತುಂಬಿಸಿ,അല്ലെങ്കിൽ കൈകൊണ്ട് പൂരിപ്പിക്കുക
product.find_product,Find Product,उत्पाद खोजें,ఉత్పత్తిని కనుగొనండి,தயாரிப்பைக் கண்டறியவும்,ಉತ್ಪನ್ನವನ್ನು ಹುಡುಕಿ,ഉൽപ്പന്നം കണ്ടെത്തുക
product.find_product_hint,"Search to auto-fill, or enter manually below","स्वतः भरने के लिए खोजें, या नीचे मैन्युअल रूप से दर्ज करें",స్వయంచాలకంగా నింపడానికి వెతకండి లేదా క్రింద మానవీయంగా నమోదు చేయండి,"தானாக நிரப்புவதற்குத் தேடுங்கள், அல்லது கீழே கைமுறையாக உள்ளிடவும்","ಸ್ವಯಂಚಾಲಿತವಾಗಿ ತುಂಬಲು ಹುಡುಕಿ, ಅಥವಾ ಕೆಳಗೆ ಹಸ್ತಚಾಲಿತವಾಗಿ ನಮೂದಿಸಿ","ഓട്ടോ-ഫിൽ ചെയ്യാൻ തിരയുക, അല്ലെങ്കിൽ താഴെ സ്വമേധയാ നൽകുക"
product.details_header,Product Details,उत्पाद विवरण,ఉత్పత్తి వివరాలు,தயாரிப்பு விவரங்கள்,ಉತ್ಪನ್ನದ ವಿವರಗಳು,ഉൽപ്പന്ന വിശദാംശങ്ങൾ
product.name_label,Product Name,उत्पाद का नाम,ఉత్పత్తి పేరు,பொருளின் பெயர்,ಉತ್ಪನ್ನದ ಹೆಸರು,ഉൽപ്പന്നത്തിൻ്റെ പേര്
product.brand_label,Brand,ब्रांड,బ్రాండ్,பிராண்ட்,ಬ್ರಾಂಡ್,ബ്രാൻഡ്
product.model_label,Model Number,मॉडल संख्या,మోడల్ నంబర్,மாதிரி எண்,ಮಾದರಿ ಸಂಖ್ಯೆ,മോഡൽ നമ്പർ
